course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,profit,published_date,published_time,year,month,day,Clean_title
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,True,95,2917,148,23,All Levels,2.5 hours,2015-01-30T22:13:03Z,Business Finance,277115,2015-01-30,22:13:03Z,2015,1,30,trading stock chart patterns immediate explosive gains
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,True,200,4284,93,76,All Levels,5 hours,2015-09-11T16:47:02Z,Business Finance,856800,2015-09-11,16:47:02Z,2015,9,11,forex trading secrets pros amazons aws
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,True,200,294,19,42,All Levels,7 hours,2017-04-28T16:41:44Z,Business Finance,58800,2017-04-28,16:41:44Z,2017,4,28,python algo trading sentiment trading news
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/,True,150,5786,518,50,All Levels,5 hours,2015-01-31T15:34:05Z,Business Finance,867900,2015-01-31,15:34:05Z,2015,1,31,beginner pro powerpoint complete powerpoint training
1170894,Python Algo Stock Trading: Automate Your Trading!,https://www.udemy.com/algorithmic-stock-trading-bootcamp-automate-your-trading/,True,95,1165,21,41,Beginner Level,2.5 hours,2017-05-28T23:41:03Z,Business Finance,110675,2017-05-28,23:41:03Z,2017,5,28,python algo stock trading automate trading
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,True,195,3811,278,103,All Levels,6.5 hours,2017-03-30T22:17:09Z,Business Finance,743145,2017-03-30,22:17:09Z,2017,3,30,python finance investment fundamentals  data analytics
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,True,200,20195,1113,227,All Levels,16 hours,2014-10-27T22:01:36Z,Business Finance,4039000,2014-10-27,22:01:36Z,2014,10,27,black algo trading build trading robot
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,True,150,10042,594,43,All Levels,3 hours,2015-10-22T00:03:48Z,Business Finance,1506300,2015-10-22,00:03:48Z,2015,10,22,accounting  financial statement analysis complete training
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,https://www.udemy.com/learn-mql4/,True,185,7941,713,40,All Levels,6.5 hours,2014-08-11T08:01:14Z,Business Finance,1469085,2014-08-11,08:01:14Z,2014,8,11,algorithmic trading forex create forex robot
1070886,Python Algo Trading: FX Trading with Oanda,https://www.udemy.com/python-algo-trading-fx-trading-with-oanda/,True,200,453,42,33,Intermediate Level,3 hours,2017-03-14T00:39:45Z,Business Finance,90600,2017-03-14,00:39:45Z,2017,3,14,python algo trading fx trading oanda
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,https://www.udemy.com/get-a-credit-repair-publication-on-amazon-and-live-life/,True,20,727,11,25,Beginner Level,3 hours,2017-04-26T18:17:51Z,Business Finance,14540,2017-04-26,18:17:51Z,2017,4,26,credit repair publication amazon live life
1188742,Introduction to Cryptocurrencies and Blockchain,https://www.udemy.com/introduction-to-cryptocurrencies/,False,0,3775,138,11,Beginner Level,2 hours,2017-05-01T21:18:54Z,Business Finance,0,2017-05-01,21:18:54Z,2017,5,1,introduction cryptocurrencies blockchain
488818,QuickBooks 2015 Training for Newbies,https://www.udemy.com/free-training-quickbooks-2015/,True,200,2506,21,76,Beginner Level,6 hours,2015-05-11T23:16:54Z,Business Finance,501200,2015-05-11,23:16:54Z,2015,5,11,quickbooks 2015 training newbies
1117834,Learn How To Trade Gold In 2017,https://www.udemy.com/learn-how-to-trade-gold-in-2017/,True,200,2,1,16,All Levels,1 hour,2017-04-06T04:59:32Z,Business Finance,400,2017-04-06,04:59:32Z,2017,4,6,learn trade gold 2017
429482,Fundraise the Simplified Way: A Crowdfunding Blueprint,https://www.udemy.com/fundraise-the-simplified-way-a-crowdfunding-blueprint/,True,35,7,1,19,All Levels,1 hour,2015-02-23T04:37:14Z,Business Finance,245,2015-02-23,04:37:14Z,2015,2,23,fundraise simplified way crowdfunding blueprint
658764,Forex Management - Detailed Study for CA / CS / CFA Exams,https://www.udemy.com/international-finance-a-comprehensive-study/,True,50,131,2,38,All Levels,3 hours,2015-11-03T18:54:45Z,Business Finance,6550,2015-11-03,18:54:45Z,2015,11,3,forex management  detailed study  cs  cfa exams
822514,CAIIB Advanced Bank Management (Part I),https://www.udemy.com/statistics-regression-analysis/,True,25,2953,20,211,All Levels,20.5 hours,2016-04-15T18:43:40Z,Business Finance,73825,2016-04-15,18:43:40Z,2016,4,15,caiib advanced bank management part i
